"folio","clientName","siteNumber","oa","service"
"A04194929","BBVA BANCOMER",70115125,367748,"CUAD-AVAYA"
"A04194903","BBVA BANCOMER",70115087,367748,"CUAD-AVAYA"
"A04194867","BBVA BANCOMER",70114788,367748,"CUAD-AVAYA"
"A04194916","BBVA BANCOMER",71414609,367739,"CUAD-AVAYA"
"A04194914","BBVA BANCOMER",70122036,367739,"CUAD-AVAYA"
"A04194921","BBVA BANCOMER",70119011,367739,"CUAD-AVAYA"
"A04194894","BBVA BANCOMER",70115608,367739,"CUAD-AVAYA"
"A04194877","BBVA BANCOMER",70115566,367739,"CUAD-AVAYA"
"A04194883","BBVA BANCOMER",70114299,367738,"CUAD-AVAYA"
"A04194893","BBVA BANCOMER",70115368,367691,"CUAD-AVAYA"
"A04194906","BBVA BANCOMER",71390116,367691,"CUAD-AVAYA"
"A04194855","BBVA BANCOMER",71618873,367651,"CUAD-AVAYA"
"A04194848","BBVA BANCOMER",71549070,367651,"CUAD-AVAYA"
"A04194836","BBVA BANCOMER",70115146,367651,"CUAD-AVAYA"
"A04194826","BBVA BANCOMER",70114595,367651,"CUAD-AVAYA"
"A04194913","BBVA BANCOMER",71434348,367645,"CUAD-AVAYA"
"A04194896","BBVA BANCOMER",71241257,367645,"CUAD-AVAYA"
"A04194881","BBVA BANCOMER",70115019,367645,"CUAD-AVAYA"
"A04194862","BBVA BANCOMER",70114865,367645,"CUAD-AVAYA"
"A04194910","BBVA BANCOMER",71463396,367542,"CUAD-AVAYA"
"A04194889","BBVA BANCOMER",71444746,367542,"CUAD-AVAYA"
"A04194875","BBVA BANCOMER",70114583,367542,"CUAD-AVAYA"
"A04194900","BBVA BANCOMER",71417529,367494,"CUAD-AVAYA"
"A04194904","BBVA BANCOMER",71424266,367494,"CUAD-AVAYA"
"A04194923","BBVA BANCOMER",71578111,367494,"CUAD-AVAYA"
"A04194853","BBVA BANCOMER",71397790,367494,"CUAD-AVAYA"
"A04194876","BBVA BANCOMER",71406650,367494,"CUAD-AVAYA"
"A04194925","BBVA BANCOMER",71562028,367491,"CUAD-AVAYA"
"A04194864","BBVA BANCOMER",71310416,367491,"CUAD-AVAYA"
"A04194884","BBVA BANCOMER",71406649,367491,"CUAD-AVAYA"
"A04194907","BBVA BANCOMER",71441342,367491,"CUAD-AVAYA"
"A04194892","BBVA BANCOMER",71433272,367491,"CUAD-AVAYA"
"A04194869","BBVA BANCOMER",71414651,367489,"CUAD-AVAYA"
"A04194887","BBVA BANCOMER",71441417,367489,"CUAD-AVAYA"
"A04194890","BBVA BANCOMER",71465476,367489,"CUAD-AVAYA"
"A04194865","BBVA BANCOMER",71406652,367489,"CUAD-AVAYA"
"A04194849","BBVA BANCOMER",71337190,367489,"CUAD-AVAYA"
"A04194924","BBVA BANCOMER",71444791,367486,"CUAD-AVAYA"
"A04194874","BBVA BANCOMER",71372564,367486,"CUAD-AVAYA"
"A04194901","BBVA BANCOMER",71414597,367486,"CUAD-AVAYA"
"A04194872","BBVA BANCOMER",71397787,367486,"CUAD-AVAYA"
"A04194902","BBVA BANCOMER",71442945,367486,"CUAD-AVAYA"
"A04194833","BBVA BANCOMER",71452133,367484,"CUAD-AVAYA"
"A04194668","BBVA BANCOMER",71369210,367484,"CUAD-AVAYA"
"A04194825","BBVA BANCOMER",71444793,367484,"CUAD-AVAYA"
"A04194727","BBVA BANCOMER",70224949,367484,"CUAD-AVAYA"
"A04194837","BBVA BANCOMER",71454169,367484,"CUAD-AVAYA"
"A04191277","BBVA BANCOMER",71420134,367422,"CUAD-AVAYA"
"A04191329","BBVA BANCOMER",71434529,367422,"CUAD-AVAYA"
"A04191267","BBVA BANCOMER",71406651,367422,"CUAD-AVAYA"
"A04191377","BBVA BANCOMER",71434529,367422,"CUAD-AVAYA"
"A04191223","BBVA BANCOMER",71348840,367422,"CUAD-AVAYA"
"A04191235","BBVA BANCOMER",71406651,367422,"CUAD-AVAYA"
"A04191161","BBVA BANCOMER",70115515,367406,"CUAD-AVAYA"
"A04191182","BBVA BANCOMER",71270438,367406,"CUAD-AVAYA"
"A04191305","BBVA BANCOMER",70114626,367338,"CUAD-AVAYA"
"A04191224","BBVA BANCOMER",70114334,367338,"CUAD-AVAYA"
"A04191249","BBVA BANCOMER",70114403,367338,"CUAD-AVAYA"
"A04191212","BBVA BANCOMER",70114303,367338,"CUAD-AVAYA"
"A04191225","BBVA BANCOMER",71379563,367335,"CUAD-AVAYA"
"A04191221","BBVA BANCOMER",70115384,367335,"CUAD-AVAYA"
"A04191178","BBVA BANCOMER",70114294,367335,"CUAD-AVAYA"
"A04191155","BBVA BANCOMER",70114277,367335,"CUAD-AVAYA"
"A04190609","BBVA BANCOMER",71241173,366804,"CUAD-AVAYA"
"A04190575","BBVA BANCOMER",70114434,366734,"CUAD-AVAYA"
"A04190548","BBVA BANCOMER",71441418,366721,"CUAD-AVAYA"
"A04190545","BBVA BANCOMER",71424266,366721,"CUAD-AVAYA"
"A04190501","BBVA BANCOMER",71354496,366702,"CUAD-AVAYA"
"A04190567","BBVA BANCOMER",70115132,366693,"CUAD-AVAYA"
"A04190446","BBVA BANCOMER",70115452,366615,"CUAD-AVAYA"
"A03195264","BBVA BANCOMER",71249502,366352,"CUAD-AVAYA"
"A03195261","BBVA BANCOMER",71454169,366342,"CUAD-AVAYA"
"A03195255","BBVA BANCOMER",71444791,366342,"CUAD-AVAYA"
"A03195266","BBVA BANCOMER",71444793,366342,"CUAD-AVAYA"
"A03195254","BBVA BANCOMER",71442945,366342,"CUAD-AVAYA"
"A03195236","BBVA BANCOMER",71622588,366330,"CUAD-AVAYA"
"A03195233","BBVA BANCOMER",70114569,366330,"CUAD-AVAYA"
"A03195256","BBVA BANCOMER",70114141,366323,"CUAD-AVAYA"
"A03195258","BBVA BANCOMER",70115368,366323,"CUAD-AVAYA"
"A03195054","BBVA BANCOMER",71372564,366028,"CUAD-AVAYA"
"A03195052","BBVA BANCOMER",70114198,366028,"CUAD-AVAYA"
"A03195053","BBVA BANCOMER",71337190,366028,"CUAD-AVAYA"
"A03195000","BBVA BANCOMER",71795670,365998,"CUAD-AVAYA"
"A03195017","BBVA BANCOMER",71795675,365998,"CUAD-AVAYA"
"A03195007","BBVA BANCOMER",71795664,365998,"CUAD-AVAYA"
"A03195023","BBVA BANCOMER",71781651,365987,"CUAD-AVAYA"
"A03195025","BBVA BANCOMER",71781655,365987,"CUAD-AVAYA"
"A03195026","BBVA BANCOMER",71781520,365987,"CUAD-AVAYA"
"A03195013","BBVA BANCOMER",71781514,365987,"CUAD-AVAYA"
"A03195012","BBVA BANCOMER",71781513,365987,"CUAD-AVAYA"
"A03195004","BBVA BANCOMER",71781507,365987,"CUAD-AVAYA"
"A03195005","BBVA BANCOMER",71781511,365987,"CUAD-AVAYA"
"A03194988","BBVA BANCOMER",71781503,365987,"CUAD-AVAYA"
"A03194987","BBVA BANCOMER",71781506,365987,"CUAD-AVAYA"
"A03194985","BBVA BANCOMER",71781491,365987,"CUAD-AVAYA"
"A03195038","BBVA BANCOMER",71795646,365985,"CUAD-AVAYA"
"A03195044","BBVA BANCOMER",71795657,365985,"CUAD-AVAYA"
"A03195037","BBVA BANCOMER",71795611,365985,"CUAD-AVAYA"
"A03195029","BBVA BANCOMER",71795599,365985,"CUAD-AVAYA"
"A03195030","BBVA BANCOMER",71795581,365985,"CUAD-AVAYA"
"A03195020","BBVA BANCOMER",71795362,365985,"CUAD-AVAYA"
"A03195002","BBVA BANCOMER",71781644,365985,"CUAD-AVAYA"
"A03194993","BBVA BANCOMER",71781528,365985,"CUAD-AVAYA"
"A03194994","BBVA BANCOMER",71781527,365985,"CUAD-AVAYA"
"A03194991","BBVA BANCOMER",71781524,365985,"CUAD-AVAYA"
"A03194971","BBVA BANCOMER",71781225,365962,"CUAD-AVAYA"
"A03194966","BBVA BANCOMER",71781224,365962,"CUAD-AVAYA"
"A03194958","BBVA BANCOMER",71781221,365962,"CUAD-AVAYA"
"A03194969","BBVA BANCOMER",71781223,365962,"CUAD-AVAYA"
"A03194960","BBVA BANCOMER",71781216,365962,"CUAD-AVAYA"
"A03194963","BBVA BANCOMER",71781219,365962,"CUAD-AVAYA"
"A03194972","BBVA BANCOMER",71780063,365962,"CUAD-AVAYA"
"A03194967","BBVA BANCOMER",71779080,365962,"CUAD-AVAYA"
"A03194951","BBVA BANCOMER",71777576,365962,"CUAD-AVAYA"
"A03194953","BBVA BANCOMER",71777648,365962,"CUAD-AVAYA"
"A03194948","BBVA BANCOMER",71777627,365954,"CUAD-AVAYA"
"A03194946","BBVA BANCOMER",71777569,365954,"CUAD-AVAYA"
"A03194945","BBVA BANCOMER",71777586,365954,"CUAD-AVAYA"
"A03194933","BBVA BANCOMER",71777511,365954,"CUAD-AVAYA"
"A03194937","BBVA BANCOMER",71777559,365954,"CUAD-AVAYA"
"A03194938","BBVA BANCOMER",71777531,365954,"CUAD-AVAYA"
"A03194928","BBVA BANCOMER",71777495,365954,"CUAD-AVAYA"
"A03194930","BBVA BANCOMER",71777260,365954,"CUAD-AVAYA"
"A03194924","BBVA BANCOMER",71777246,365954,"CUAD-AVAYA"
"A03194925","BBVA BANCOMER",71777245,365954,"CUAD-AVAYA"
"A03194869","BBVA BANCOMER",71417529,365896,"CUAD-AVAYA"
"A03194871","BBVA BANCOMER",71406650,365896,"CUAD-AVAYA"
"A03194853","BBVA BANCOMER",71397790,365896,"CUAD-AVAYA"
"A03194851","BBVA BANCOMER",71310416,365896,"CUAD-AVAYA"
"A03194858","BBVA BANCOMER",71433272,365891,"CUAD-AVAYA"
"A03194874","BBVA BANCOMER",71465476,365890,"CUAD-AVAYA"
"A03194875","BBVA BANCOMER",71562028,365890,"CUAD-AVAYA"
"A03194861","BBVA BANCOMER",71465476,365890,"CUAD-AVAYA"
"A03194847","BBVA BANCOMER",71441417,365890,"CUAD-AVAYA"
"A03194842","BBVA BANCOMER",71406649,365890,"CUAD-AVAYA"
