"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A10171387",293155,71651983,"LIFE STYLE EL TRIÁNGULO","Operativo","Activo","UNC.CUAD60.904.1.4",32272961,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171383",293150,71651981,"PLAZA ANAHUAC MONTERREY","Operativo","Activo","UNC.CUAD60.904.1.4",32272510,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171383",293150,71651981,"PLAZA ANAHUAC MONTERREY","Operativo","Activo","UNC.CUAD60.901.1",32272496,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171383",293150,71651981,"PLAZA ANAHUAC MONTERREY","Operativo","Activo","UNC.CUAD60.907.1",32272773,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171361",293138,71652057,"PLAZA SINFONÍA","Operativo","Activo","UNC.CUAD60.901.1",32272061,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171361",293138,71652057,"PLAZA SINFONÍA","Operativo","Activo","UNC.CUAD60.904.1.4",32272075,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171361",293138,71652057,"PLAZA SINFONÍA","Operativo","Activo","UNC.CUAD60.907.1",32272338,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171349",293113,71652056,"SUCURSAL VALLE DE BRAVO","Operativo","Activo","UNC.CUAD60.901.1",32271384,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171349",293113,71652056,"SUCURSAL VALLE DE BRAVO","Operativo","Activo","UNC.CUAD60.907.1",32271661,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10171349",293113,71652056,"SUCURSAL VALLE DE BRAVO","Operativo","Activo","UNC.CUAD60.904.1.4",32271398,7,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07170186",276815,71636130,"SUC LOS CABOS","Operativo","Activo","UNC.CUAD.901.1",31652775,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07170186",276815,71636130,"SUC LOS CABOS","Operativo","Activo","UNC.CUAD.904.1.2",31652438,9,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
