"status","cliente","servicio","tags","phase"
"Activo","SILICES DE VERACRUZ S.A. DE C.V.","CUAD-BROADSOFT","[""famosa""]","Operativo"
"Activo","ESTACION PIRU SA DE CV","CUAD-BROADSOFT",,"Planeación"
"Activo","MAN TRUCK & BUS MEXICO, S.A. DE C.V.","CUAD-BROADSOFT",,"Planeación-Implementación-Operativo"
"Activo","EQUIPOS PARA MERCADOS, S.A. DE C.V.","CUAD-BROADSOFT","[""eme""]","Operativo"
"Activo","CARNIVAL DE MEXICO SA DE CV","CUAD-BROADSOFT",,"Nuevo"
"Activo","BBVA BANCOMER S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO BBVA BANCOMER","CUAD-CISCO",,"Implementación-Desconocido"
"Activo","PALACIO DE HIERRO","CUAD-CISCO",,"Nuevo"
"Activo","PALACIO DE HIERRO","CUAD-AVAYA",,"Nuevo"
"Activo","MAPFRE MÉXICO, S.A.","CUAD-CISCO",,"Nuevo"
"Activo","GRUPO VALE EURO RSCG, S.A DE C.V","CUAD-BROADSOFT",,"Nuevo-Operativo"
"Activo","AJEMEX, S.A. DE C.V.","CUAD-AVAYA",,"Nuevo"
