"cliente","servicio","sitio","idSitio","unc","descr","partId","qty","price","unr","unrId","months","rent","folio","phase"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.907.1",,32616061,60,0.01,"UNR.CUAD.907.1",32616062,36,,"A01181735","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL_CORP_MASARYK_MPLS_RT01",,"UNC.CUAD.911.1.1",,32616060,60,0.6,,,36,,"A01181735","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LA ISLA MÉRIDA",,"UNC.CUAD.901.1",,32594681,1,0.01,"UNR.CUAD.901.1",32594694,36,,"A01181067","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LA ISLA MÉRIDA",,"UNC.CUAD.907.1",,32594740,7,0.01,"UNR.CUAD.907.1",32594741,36,,"A01181067","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LA ISLA MÉRIDA",,"UNC.CUAD.911.1.1",,32594760,7,0.07,,,36,,"A01181067","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LA ISLA MÉRIDA",,"UNC.CUAD.904.1.4",,32594695,7,0.01,"UNR.CUAD.904.1.4",32594739,36,,"A01181067","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","JURIQUILLA QUERETARO",,"UNC.CUAD60.901.1",,32274318,2,0.01,"UNR.CUAD60.901.1",32274341,60,,"A10171375","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","JURIQUILLA QUERETARO",,"UNC.CUAD60.904.1.4",,32274342,12,0.01,"UNR.CUAD60.904.1.4",32274789,60,,"A10171375","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","JURIQUILLA QUERETARO",,"UNC.CUAD60.907.1",,32274790,12,0.01,"UNR.CUAD60.907.1",32274791,60,,"A10171375","Operativo"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","CENTRO LILAS LOMAS",,"UNC.CUAD60.901.1",,32273930,1,0.01,"UNR.CUAD60.901.1",32273943,60,,"A10171373","Operativo"
