"folio","oa","servicio","siteId","alcance","partId","sku"
"A01201040",409004,"CUAD-AVAYA",71241161,1,36947311,"UNC.CUAD.AVBA101"
"A01201120",409122,"CUAD-AVAYA",70115132,12,36948985,"UNC.CUAD.AVBA101"
"A01201044",409004,"CUAD-AVAYA",71241177,4,36947319,"UNC.CUAD.AVBA101"
"A02200229",410317,"CUAD-AVAYA",70114494,3,37029325,"UNC.CUAD.AVBA101"
"A01201078",409057,"CUAD-AVAYA",71441122,1,36947973,"UNC.CUAD.AVBA101"
"A01201048",409004,"CUAD-AVAYA",71468731,1,36947337,"UNC.CUAD.AVBA101"
"A01201092",409066,"CUAD-AVAYA",70114237,1,36948042,"UNC.CUAD.AVBA101"
"A02200112",410110,"CUAD-BROADSOFT",71840439,2,36966662,"UNC.CUAD.BS.104"
"A02200112",410110,"CUAD-BROADSOFT",71840439,2,36966664,"UNC.CUAD.BS.203"
"A02200112",410110,"CUAD-BROADSOFT",71840439,2,36966666,"UNC.CUAD.BS.901"
"A02200230",410326,"CUAD-BROADSOFT",71840699,5,37029495,"UNC.CUAD.BS.101"
"A02200230",410326,"CUAD-BROADSOFT",71840699,7,37029497,"UNC.CUAD.BS.102"
"A02200230",410326,"CUAD-BROADSOFT",71840699,3,37029499,"UNC.CUAD.BS.103"
"A02200230",410326,"CUAD-BROADSOFT",71840699,15,37029501,"UNC.CUAD.BS.901"
"A02200230",410326,"CUAD-BROADSOFT",71840699,1,37029510,"UNC.CUAD.BS.902"
"A02200230",410326,"CUAD-BROADSOFT",71840699,13,37029516,"UNC.CUAD.BS.203"
"A02200230",410326,"CUAD-BROADSOFT",71840699,1,37029518,"UNC.CUAD.BS.204"
"A02200230",410326,"CUAD-BROADSOFT",71840699,2,37029520,"UNC.CUAD.BS.201"
"A02200650",411399,"CUAD-AVAYA",71332136,1,37051042,"UNC.CUAD.AVBA101"
"A02200648",411399,"CUAD-AVAYA",71297046,1,37051036,"UNC.CUAD.AVBA101"
"A02200615",411363,"CUAD-AVAYA",70115189,1,37050782,"UNC.CUAD.AVBA101"
"A02200633",411371,"CUAD-AVAYA",71561000,2,37050870,"UNC.CUAD.AVBA101"
"A09120013",,"CUAD-CISCO",70221752,3,24696596,"UNC.CUAD.901.1"
"A09120013",,"CUAD-CISCO",70221752,5,24696598,"UNC.CUAD.903.1"
"A09120013",,"CUAD-CISCO",70221752,5,24696600,"UNC.CUAD.911.1"
"A02200635",411371,"CUAD-AVAYA",71700569,1,37050878,"UNC.CUAD.AVBA101"
"A08120037",,"CUAD-CISCO",71397787,9,24685570,"UNC.CUAD.903.1"
"A08120037",,"CUAD-CISCO",71397787,9,24685572,"UNC.CUAD.911.1"
"A08120037",,"CUAD-CISCO",71397787,2,24685574,"UNC.CUAD.901.1"
"A08120039",,"CUAD-CISCO",71397790,14,24685622,"UNC.CUAD.903.1"
"A08120039",,"CUAD-CISCO",71397790,14,24685624,"UNC.CUAD.911.1"
"A08120039",,"CUAD-CISCO",71397790,2,24685626,"UNC.CUAD.901.1"
"A10120032",,"CUAD-CISCO",70114360,6,24757863,"UNC.CUAD.905.1"
"A08120035",,"CUAD-CISCO",71397785,14,24685523,"UNC.CUAD.903.1"
"A08120035",,"CUAD-CISCO",71397785,14,24685525,"UNC.CUAD.911.1"
"A08120035",,"CUAD-CISCO",71397785,2,24685527,"UNC.CUAD.901.1"
"A09120034",,"CUAD-CISCO",71238343,5,24716196,"UNC.CUAD.903.1"
"A09120034",,"CUAD-CISCO",71238343,5,24716198,"UNC.CUAD.911.1"
"A09120034",,"CUAD-CISCO",71238343,2,24716200,"UNC.CUAD.901.1"
"A09120037",,"CUAD-CISCO",71278154,4,24716249,"UNC.CUAD.911.1"
"A09120025",,"CUAD-CISCO",70115648,1,24714268,"UNC.CUAD.903.1"
"A09120025",,"CUAD-CISCO",70115648,1,24714270,"UNC.CUAD.911.1"
"A02200628",411371,"CUAD-AVAYA",71332271,1,37050850,"UNC.CUAD.AVBA101"
"A09120033",,"CUAD-CISCO",70115424,5,24716165,"UNC.CUAD.903.1"
"A09120033",,"CUAD-CISCO",70115424,5,24716167,"UNC.CUAD.911.1"
"A09120033",,"CUAD-CISCO",70115424,1,24716169,"UNC.CUAD.901.1"
"A10120004",,"CUAD-CISCO",70115648,1,24735050,"UNC.CUAD.905.1"
"A10120004",,"CUAD-CISCO",70115648,1,24735052,"UNC.CUAD.901.1"
"A10120004",,"CUAD-CISCO",70115648,1,24735054,"UNC.CUAD.911.1"
"A10120026",,"CUAD-CISCO",70114408,7,24754635,"UNC.CUAD.905.1"
"A10120026",,"CUAD-CISCO",70114408,4,24754637,"UNC.CUAD.901.1"
"A10120031",,"CUAD-CISCO",70114350,7,24757861,"UNC.CUAD.905.1"
"A10120039",,"CUAD-CISCO",70114455,9,24757869,"UNC.CUAD.905.1"
"A10120034",,"CUAD-CISCO",71397786,10,24757875,"UNC.CUAD.905.1"
"A10120048",,"CUAD-CISCO",70114608,3,24757976,"UNC.CUAD.905.1"
"A09120026",,"CUAD-CISCO",71278155,1,24714276,"UNC.CUAD.903.1"
"A09120026",,"CUAD-CISCO",71278155,1,24714278,"UNC.CUAD.911.1"
"A09120032",,"CUAD-CISCO",70114966,4,24716146,"UNC.CUAD.911.1"
"A09120032",,"CUAD-CISCO",70114966,4,24716148,"UNC.CUAD.903.1"
"A09120032",,"CUAD-CISCO",70114966,2,24716150,"UNC.CUAD.901.1"
"A09120029",,"CUAD-CISCO",70114608,3,24716062,"UNC.CUAD.903.1"
"A09120029",,"CUAD-CISCO",70114608,3,24716064,"UNC.CUAD.911.1"
"A09120029",,"CUAD-CISCO",70114608,2,24716066,"UNC.CUAD.901.1"
"A08120036",,"CUAD-CISCO",71397786,10,24685547,"UNC.CUAD.903.1"
"A08120036",,"CUAD-CISCO",71397786,10,24685549,"UNC.CUAD.911.1"
"A08120036",,"CUAD-CISCO",71397786,2,24685551,"UNC.CUAD.901.1"
"A08120038",,"CUAD-CISCO",71397789,10,24685596,"UNC.CUAD.911.1"
"A08120038",,"CUAD-CISCO",71397789,2,24685598,"UNC.CUAD.901.1"
"A08120038",,"CUAD-CISCO",71397789,10,24685594,"UNC.CUAD.903.1"
"A09120012",,"CUAD-CISCO",70115409,5,24696571,"UNC.CUAD.903.1"
"A09120012",,"CUAD-CISCO",70115409,5,24696573,"UNC.CUAD.911.1"
"A09120012",,"CUAD-CISCO",70115409,3,24696575,"UNC.CUAD.901.1"
"A09120014",,"CUAD-CISCO",70232600,4,24696620,"UNC.CUAD.903.1"
"A09120014",,"CUAD-CISCO",70232600,4,24696622,"UNC.CUAD.911.1"
"A09120014",,"CUAD-CISCO",70232600,3,24696624,"UNC.CUAD.901.1"
"A09120015",,"CUAD-CISCO",71399003,34,24697156,"UNC.CUAD.903.1"
"A09120015",,"CUAD-CISCO",71399003,34,24697158,"UNC.CUAD.911.1"
"A09120015",,"CUAD-CISCO",71399003,4,24697160,"UNC.CUAD.901.1"
"A10120027",,"CUAD-CISCO",70114408,7,24754644,"UNC.CUAD.911.1"
"A10120028",,"CUAD-CISCO",70104912,5,24757855,"UNC.CUAD.905.1"
"A10120030",,"CUAD-CISCO",70114312,4,24757859,"UNC.CUAD.905.1"
"A09120027",,"CUAD-CISCO",70114266,5,24716020,"UNC.CUAD.903.1"
"A09120027",,"CUAD-CISCO",70114266,5,24716022,"UNC.CUAD.911.1"
"A09120027",,"CUAD-CISCO",70114266,2,24716024,"UNC.CUAD.901.1"
"A10120020",,"CUAD-CISCO",70114229,12,24753714,"UNC.CUAD.905.1"
"A10120020",,"CUAD-CISCO",70114229,12,24753716,"UNC.CUAD.911.1"
"A10120020",,"CUAD-CISCO",70114229,4,24753718,"UNC.CUAD.901.1"
"A10120019",,"CUAD-CISCO",71249502,15,24753743,"UNC.CUAD.905.1"
"A10120019",,"CUAD-CISCO",71249502,4,24753745,"UNC.CUAD.901.1"
"A10120019",,"CUAD-CISCO",71249502,15,24753747,"UNC.CUAD.911.1"
"A10120040",,"CUAD-CISCO",71397790,14,24757881,"UNC.CUAD.905.1"
"A09120031",,"CUAD-CISCO",70114654,5,24716122,"UNC.CUAD.903.1"
"A09120031",,"CUAD-CISCO",70114654,5,24716124,"UNC.CUAD.911.1"
"A09120031",,"CUAD-CISCO",70114654,2,24716126,"UNC.CUAD.901.1"
"A09120035",,"CUAD-CISCO",71250394,5,24716221,"UNC.CUAD.903.1"
"A09120035",,"CUAD-CISCO",71250394,5,24716223,"UNC.CUAD.911.1"
"A09120035",,"CUAD-CISCO",71250394,2,24716225,"UNC.CUAD.901.1"
"A10120037",,"CUAD-CISCO",71397785,14,24757873,"UNC.CUAD.905.1"
"A10120035",,"CUAD-CISCO",71397787,9,24757877,"UNC.CUAD.905.1"
"A10120051",,"CUAD-CISCO",70114618,6,24757978,"UNC.CUAD.905.1"
"A02200617",411363,"CUAD-AVAYA",70115424,1,37050788,"UNC.CUAD.AVBA101"
"A09120010",,"CUAD-CISCO",70104912,5,24696522,"UNC.CUAD.903.1"
"A09120010",,"CUAD-CISCO",70104912,5,24696524,"UNC.CUAD.911.1"
"A09120010",,"CUAD-CISCO",70104912,3,24696526,"UNC.CUAD.901.1"
"A09120036",,"CUAD-CISCO",71278154,4,24716239,"UNC.CUAD.903.1"
"A09120036",,"CUAD-CISCO",71278154,2,24716241,"UNC.CUAD.901.1"
"A09120039",,"CUAD-CISCO",71299082,4,24716298,"UNC.CUAD.903.1"
"A09120039",,"CUAD-CISCO",71299082,4,24716300,"UNC.CUAD.911.1"
"A09120039",,"CUAD-CISCO",71299082,2,24716302,"UNC.CUAD.901.1"
"A10120003",,"CUAD-CISCO",70115189,1,24735044,"UNC.CUAD.901.1"
"A10120046",,"CUAD-CISCO",70031521,4,24757972,"UNC.CUAD.905.1"
"A02200620",411363,"CUAD-AVAYA",71559918,3,37050808,"UNC.CUAD.AVBA101"
"A10120029",,"CUAD-CISCO",70114266,5,24757857,"UNC.CUAD.905.1"
"A10120038",,"CUAD-CISCO",70114434,5,24757867,"UNC.CUAD.905.1"
"A02200632",411371,"CUAD-AVAYA",71379813,2,37050862,"UNC.CUAD.AVBA101"
"A02200644",411399,"CUAD-AVAYA",70115424,1,37051025,"UNC.CUAD.AVBA101"
"A10120018",,"CUAD-CISCO",70114473,12,24749836,"UNC.CUAD.905.1"
"A10120018",,"CUAD-CISCO",70114473,12,24749838,"UNC.CUAD.911.1"
"A10120018",,"CUAD-CISCO",70114473,2,24749840,"UNC.CUAD.901.1"
"A02200619",411363,"CUAD-AVAYA",71238339,1,37050794,"UNC.CUAD.AVBA101"
"A09120028",,"CUAD-CISCO",70114312,4,24716046,"UNC.CUAD.911.1"
"A09120028",,"CUAD-CISCO",70114312,1,24716048,"UNC.CUAD.901.1"
"A09120028",,"CUAD-CISCO",70114312,4,24716044,"UNC.CUAD.903.1"
"A10120047",,"CUAD-CISCO",70114605,6,24757974,"UNC.CUAD.905.1"
"A02200626",411371,"CUAD-AVAYA",71241258,1,37050844,"UNC.CUAD.AVBA101"
"A09120011",,"CUAD-CISCO",70115048,4,24696546,"UNC.CUAD.903.1"
"A09120011",,"CUAD-CISCO",70115048,4,24696548,"UNC.CUAD.911.1"
"A09120011",,"CUAD-CISCO",70115048,4,24696550,"UNC.CUAD.903.1"
"A09120011",,"CUAD-CISCO",70115048,4,24696546,"UNC.CUAD.903.1"
"A10120005",,"CUAD-CISCO",71278155,1,24735060,"UNC.CUAD.905.1"
"A10120005",,"CUAD-CISCO",71278155,1,24735062,"UNC.CUAD.911.1"
"A02200621",411363,"CUAD-AVAYA",71643581,1,37050810,"UNC.CUAD.AVBA101"
"A09120030",,"CUAD-CISCO",70114618,6,24716093,"UNC.CUAD.903.1"
"A09120030",,"CUAD-CISCO",70114618,6,24716095,"UNC.CUAD.911.1"
"A09120030",,"CUAD-CISCO",70114618,2,24716097,"UNC.CUAD.901.1"
"A09120038",,"CUAD-CISCO",71283486,5,24716264,"UNC.CUAD.903.1"
